,equity
2024-09-01,612.1283190769863
2024-09-02,605.2039967943463
2024-09-03,610.949764663398
2024-09-04,610.6384887469941
2024-09-05,614.7661939137689
2024-09-06,621.6604388029202
2024-09-07,618.4914151475384
2024-09-08,615.7429846066511
2024-09-09,611.4262873584406
2024-09-10,610.8282384877923
2024-09-11,611.9475169755042
2024-09-12,605.7123221528776
2024-09-13,601.6948772013304
2024-09-14,602.747992629142
2024-09-15,606.6077891488968
2024-09-16,607.7568663551482
2024-09-17,607.1627678302942
2024-09-18,605.432694803145
2024-09-19,601.9909875509485
2024-09-20,599.6928497293408
2024-09-21,601.4076818873884
2024-09-22,601.0446677735224
2024-09-23,605.1363246891266
2024-09-24,611.1500673355745
2024-09-25,607.8833059737093
2024-09-26,613.2439305229422
2024-09-27,615.1827019647591
2024-09-28,616.9384890292505
2024-09-29,617.2689490380451
2024-09-30,606.0329076686077
2024-10-01,594.8630016221891
2024-10-02,587.9218585454873
2024-10-03,587.9264319222514
2024-10-04,586.4043149395401
2024-10-05,587.5062839271047
2024-10-06,586.7926961567875
2024-10-07,587.2004959204812
2024-10-08,588.7875251012155
2024-10-09,590.5454315249492
2024-10-10,589.2568854928705
2024-10-11,584.2691131144926
2024-10-12,583.3673861495581
2024-10-13,585.0105088224682
2024-10-14,582.9486167133073
2024-10-15,581.4033155608066
2024-10-16,580.5798159998616
2024-10-17,577.8611597138288
2024-10-18,579.2808886637057
2024-10-19,579.3302563033449
2024-10-20,582.0600158308798
2024-10-21,579.110949710012
2024-10-22,579.4551574603506
2024-10-23,574.5193410455086
2024-10-24,574.6101184253812
2024-10-25,577.7985541327279
2024-10-26,578.3288945247
2024-10-27,578.8200870703322
2024-10-28,577.1406108413056
2024-10-29,574.8448051440449
2024-10-30,575.873587347735
2024-10-31,569.5776597747681
2024-11-01,565.9710584277324
2024-11-02,565.8326698441109
2024-11-03,562.1137700023737
2024-11-04,566.6952611916291
2024-11-05,562.5985709276358
2024-11-06,560.4274010873098
2024-11-07,565.3818857432517
2024-11-08,572.763324423596
2024-11-09,580.8234706348098
2024-11-10,596.2651688457971
2024-11-11,608.6428297944785
2024-11-12,604.1412208379365
2024-11-13,602.6031613362612
2024-11-14,607.9037914591478
2024-11-15,634.2667714232966
2024-11-16,660.4407814826469
2024-11-17,652.3085272782456
2024-11-18,666.4440167113868
2024-11-19,662.0324795048679
2024-11-20,665.1622029722158
2024-11-21,691.1491165067428
2024-11-22,734.647996121462
2024-11-23,742.9761596174753
2024-11-24,737.0660514548593
2024-11-25,721.1921665353285
2024-11-26,717.2983524033143
2024-11-27,741.1280726048547
2024-11-28,746.7357973039708
2024-11-29,776.1343004986641
2024-11-30,791.9694665303189
2024-12-01,829.0657246212608
2024-12-02,884.6340696279785
2024-12-03,871.5000250115486
2024-12-04,859.545587878094
2024-12-05,842.969216865643
2024-12-06,876.5219886929176
2024-12-07,890.7946679555994
2024-12-08,890.9126107224529
2024-12-09,815.3676422962553
2024-12-10,827.8964546365768
2024-12-11,849.7691985452159
2024-12-12,861.0891494898858
2024-12-13,869.8074708977593
2024-12-14,860.0641832399604
2024-12-15,870.71134711429
2024-12-16,869.4131346976643
2024-12-17,870.5203155409481
2024-12-18,824.9178855045584
