,equity
2024-03-13,706.4430076443208
2024-03-14,702.2752670164128
2024-03-15,702.8473303692356
2024-03-16,681.6000529613276
2024-03-17,692.1529834714632
2024-03-18,682.7197741033209
2024-03-19,649.5318375676001
2024-03-20,676.5984697355069
2024-03-21,671.5287505946756
2024-03-22,664.8594335709266
2024-03-23,663.2323731596695
2024-03-24,673.3796195026105
2024-03-25,682.5811834446587
2024-03-26,680.626123345211
2024-03-27,674.6863888214112
2024-03-28,679.4012616706455
2024-03-29,683.2027061883882
2024-03-30,682.0572475798091
2024-03-31,690.6036179137977
2024-04-01,675.574777918766
2024-04-02,662.1270683254222
2024-04-03,668.0800246629047
2024-04-04,667.4144100603747
2024-04-05,664.7035991912335
2024-04-06,666.210734470702
2024-04-07,664.2061212482243
2024-04-08,660.2667374254656
2024-04-09,658.8832710387749
2024-04-10,664.6455908813859
2024-04-11,663.050991915208
2024-04-12,664.7708645198678
2024-04-13,664.440837239092
2024-04-14,660.5446042532927
2024-04-15,660.517385128933
2024-04-16,658.5116401198787
2024-04-17,660.5887887706966
2024-04-18,660.0040094672464
2024-04-19,659.7798330313285
2024-04-20,655.787285021919
2024-04-21,657.8006785139601
2024-04-22,658.2324701727402
2024-04-23,660.3900180240734
2024-04-24,665.6423152838921
2024-04-25,667.0265457788661
2024-04-26,666.3005730345012
2024-04-27,664.9261558997586
2024-04-28,668.2061205579424
2024-04-29,666.7076319005171
2024-04-30,672.6715432625789
2024-05-01,666.4776904490838
2024-05-02,664.4414541001112
2024-05-03,664.1499443537363
2024-05-04,662.8254934024546
2024-05-05,664.0723470878054
2024-05-06,661.2184665824875
2024-05-07,662.4189120062708
2024-05-08,665.9792226863542
2024-05-09,662.8685248122125
2024-05-10,665.4644256162752
2024-05-11,667.6264382633957
2024-05-12,668.1329388512534
2024-05-13,666.5262385789777
2024-05-14,665.6916802810634
2024-05-15,659.3321972908201
2024-05-16,653.9475491538878
2024-05-17,653.4500571077052
2024-05-18,654.0963152322569
2024-05-19,654.4600764636575
2024-05-20,655.7317196272858
2024-05-21,657.7163794189227
2024-05-22,657.8967937937465
2024-05-23,655.5695258032166
2024-05-24,655.3161315052257
2024-05-25,656.4254900099867
2024-05-26,654.1294382227345
2024-05-27,660.6170123852
2024-05-28,658.4082775364137
2024-05-29,655.4638701111331
2024-05-30,653.2321566044262
2024-05-31,654.0616354420275
2024-06-01,655.5431301357926
2024-06-02,655.0536091976028
2024-06-03,657.0910837660264
2024-06-04,668.9546662401741
2024-06-05,671.8371890694013
2024-06-06,672.6639793465239
2024-06-07,665.2110212610313
2024-06-08,665.2497908884116
2024-06-09,663.4153229096344
2024-06-10,654.1932540384137
2024-06-11,650.8241419668028
2024-06-12,649.7896461157766
2024-06-13,648.773468500195
2024-06-14,650.1107071660863
2024-06-15,648.9617765410402
2024-06-16,649.5263090566232
2024-06-17,643.3892050287243
2024-06-18,644.7833968416934
2024-06-19,643.4309951630485
2024-06-20,643.9924387173007
2024-06-21,644.3429372497037
2024-06-22,644.2242420613874
2024-06-23,645.2730594431343
2024-06-24,647.1437288300363
2024-06-25,644.8343509911319
2024-06-26,646.6119003444607
2024-06-27,640.7646081617097
2024-06-28,645.1635443000172
2024-06-29,645.9558352116571
2024-06-30,641.4003688624596
2024-07-01,639.3650359418131
2024-07-02,636.618820469824
